市町村名,コード,振興局,xcoord,ycoord
歌志内市,1227,空知総合振興局,142.0226766,43.48639417
京極町,1399,後志総合振興局,140.9442356,42.89471014
中札内村,1638,十勝総合振興局,143.0928964,42.64625959
江別市,1217,石狩振興局,141.546061,43.09489514
帯広市,1207,十勝総合振興局,143.1273491,42.78298111
羅臼町,1694,根室振興局,145.1934529,44.10174347
幌延町,1520,宗谷総合振興局,142.0124652,44.98899778
東神楽町,1453,上川総合振興局,142.4866562,43.67773236
秩父別町,1434,空知総合振興局,141.9720962,43.78088028
浜頓別町,1512,宗谷総合振興局,142.327221,45.0809975
島牧村,1391,後志総合振興局,140.0518722,42.676485
大樹町,1641,十勝総合振興局,143.0717533,42.49696754
えりも町,1609,日高振興局,143.2176234,42.0480222
厚岸町,1662,釧路総合振興局,144.8239626,43.12574743
斜里町,1545,オホーツク総合振興局,144.7747609,43.88081151
仁木町,1407,後志総合振興局,140.6971908,43.0876
豊頃町,1645,十勝総合振興局,143.4683394,42.73123069
初山別村,1485,留萌振興局,141.8395075,44.51564806
大空町,1564,オホーツク総合振興局,144.2831942,43.83038806
新得町,1635,十勝総合振興局,142.8567564,43.29069056
訓子府町,1549,オホーツク総合振興局,143.728462,43.70069417
沼田町,1438,空知総合振興局,141.9712873,43.88703625
豊富町,1516,宗谷総合振興局,141.8015176,45.15251472
ニセコ町,1395,後志総合振興局,140.6791324,42.79278
美唄市,1215,空知総合振興局,141.8529941,43.33475917
厚真町,1581,胆振総合振興局,141.9453723,42.72896264
登別市,1230,胆振総合振興局,141.0843357,42.45356773
稚内市,1214,宗谷総合振興局,141.8117338,45.3493875
長万部町,1347,渡島総合振興局,140.3043562,42.50351049
上ノ国町,1362,檜山振興局,140.1668598,41.71624472
別海町,1691,根室振興局,144.9568385,43.41591041
標津町,1693,根室振興局,144.9006983,43.73710041
,1695,北方領土,146.7082258,43.79576122
湧別町,1559,オホーツク総合振興局,143.6008059,44.15771021
北見市,1208,オホーツク総合振興局,143.757839,43.8444597
小樽市,1203,後志総合振興局,141.0377658,43.14771518
根室市,1223,根室振興局,145.426255,43.22553225
滝川市,1225,空知総合振興局,141.9423942,43.60214459
栗山町,1429,空知総合振興局,141.8468863,43.0719526
恵庭市,1231,石狩振興局,141.5271016,42.89422875
夕張市,1209,空知総合振興局,142.114092,43.04125639
白老町,1578,胆振総合振興局,141.254465,42.57976736
厚沢部町,1363,檜山振興局,140.3023872,41.9200631
中標津町,1692,根室振興局,144.8334836,43.58072889
白糠町,1668,釧路総合振興局,143.9043846,43.14886805
積丹町,1405,後志総合振興局,140.4874191,43.29201581
新十津川町,1432,空知総合振興局,141.7488954,43.57601583
比布町,1455,上川総合振興局,142.490779,43.91716333
幕別町,1643,十勝総合振興局,143.3201996,42.85218664
西興部村,1562,オホーツク総合振興局,142.9277235,44.3279723
上士幌町,1633,十勝総合振興局,143.1318807,43.49096507
中富良野町,1461,上川総合振興局,142.4051228,43.41084894
美幌町,1543,オホーツク総合振興局,144.1687116,43.74562527
森町,1345,渡島総合振興局,140.555034,42.067405
松前町,1331,渡島総合振興局,140.0884988,41.51700847
音威子府村,1470,上川総合振興局,142.2358568,44.71319194
函館市,1202,渡島総合振興局,140.9322944,41.86020805
釧路町,1661,釧路総合振興局,144.4898622,43.02561431
今金町,1370,檜山振興局,140.0926641,42.44411264
浦臼町,1431,空知総合振興局,141.7883323,43.42845917
当麻町,1454,上川総合振興局,142.5798471,43.82220708
豊浦町,1571,胆振総合振興局,140.650405,42.64373736
羽幌町,1484,留萌振興局,141.8877843,44.32867987
士幌町,1632,十勝総合振興局,143.2637881,43.16157167
南富良野町,1462,上川総合振興局,142.6093934,43.15451317
新冠町,1604,日高振興局,142.4484885,42.54121403
岩内町,1402,後志総合振興局,140.4867989,42.95124723
蘭越町,1394,後志総合振興局,140.4840987,42.77394556
池田町,1644,十勝総合振興局,143.4746182,42.99419292
